SCORING,GP,GS,MPG,PPG,PPS,HIGH
"13 Guduric, Marko Guduric, M. SG",32,0,13.4,4.3,1.03,17
"14 Caboclo, Bruno Caboclo, B. SF",22,0,8.7,2.8,0.9,12
"15 Watanabe, Yuta Watanabe, Y. SG",6,0,4.3,1.2,1.17,4
"16 Konchar, John Konchar, J. SG",5,0,6.0,0.8,1.0,2
"1 Young, Trae Young, T. PG",45,45,34.9,29.0,1.41,49
"2 Collins, John Collins, J. PF",24,24,30.5,19.3,1.35,34
"3 Parker, Jabari Parker, J. PF",32,23,26.2,15.0,1.22,33
"4 Hunter, De'Andre Hunter, D. SF",48,47,31.1,12.3,1.12,28
"5 Huerter, Kevin Huerter, K. SG",39,31,29.1,11.6,1.16,26
"6 Reddish, Cam Reddish, C. SF",46,31,26.0,9.1,1.01,25
"7 Len, Alex Len, A. C",40,9,18.6,8.7,1.34,23
"8 Goodwin, Brandon Goodwin, B. PG",20,1,13.3,6.6,1.06,21
"9 Jones, Damian Jones, D. C",45,22,16.6,6.0,1.75,20
"10 Teague, Jeff Teague, J. PG",8,1,21.4,6.0,0.92,32
"11 Bembry, DeAndre' Bembry, D. SG",43,4,21.3,5.8,1.09,22
"12 Carter, Vince Carter, V. SG",43,0,15.4,5.3,0.97,17
"13 Crabbe, Allen Crabbe, A. SG",28,1,18.6,5.1,1.0,20
"14 Fernando, Bruno Fernando, B. PF",42,11,12.5,4.1,1.2,14
"15 Turner, Evan Turner, E. SG",18,0,12.8,3.3,0.95,11
"16 Wallace, Tyrone Wallace, T. SG",14,0,11.4,2.9,0.91,12
"17 Parsons, Chandler Parsons, C. SF",5,0,10.8,2.8,0.78,8
"18 Brown, Charles Brown, C. SG",9,0,4.4,2.2,1.05,6
"19 Graham, Treveon Graham, T. SG",7,0,8.3,1.6,1.0,13
"20 Watson, Paul Watson, P. SG",2,0,8.5,0.0,0.0,1
"1 Butler, Jimmy Butler, J. SF",42,42,34.8,20.3,1.53,37
"2 Nunn, Kendrick Nunn, K. SG",45,45,30.3,16.0,1.17,36
"3 Dragic, Goran Dragic, G. PG",37,1,28.1,15.8,1.32,29
"4 Adebayo, Bam Adebayo, B. C",48,48,34.6,15.7,1.51,30
"5 Herro, Tyler Herro, T. SG",45,6,28.0,13.4,1.15,29
"6 Robinson, Duncan Robinson, D. SF",48,43,28.3,12.1,1.38,34
"7 Winslow, Justise Winslow, J. SF",11,5,32.0,11.3,0.96,27
"8 Waiters, Dion Waiters, D. SG",3,0,14.0,9.3,1.08,14
"9 Jones, Derrick Jones, D. SF",34,2,24.1,8.2,1.30,19
"10 Olynyk, Kelly Olynyk, K. PF",42,0,19.6,7.8,1.40,19
"11 Leonard, Meyers Leonard, M. PF",48,48,20.2,6.2,1.35,21
"12 Johnson, James Johnson, J. PF",18,0,15.6,5.7,1.17,22
"13 Silva, Chris Silva, C. PF",32,0,8.1,3.3,1.84,10
"14 Haslem, Udonis Haslem, U. PF",2,0,5.5,2.5,5.00,3
"15 Macon, Daryl Macon, D. PG",4,0,3.5,0.8,1.00,3
"16 Okpala, KZ Okpala, K. SF",3,0,1.0,0.0,-,0
"16 Vincent, Gabe Vincent, G. PG",1,0,1.0,0.0,0.00,0
"1 Graham, Devonte' Graham, D. PG",49,39,35.2,18.0,1.18,40
"2 Rozier, Terry Rozier, T. PG",49,49,34.2,18.0,1.19,35
"3 Bridges, Miles Bridges, M. SF",49,48,30.2,12.4,1.15,31
"4 Washington, P.J. Washington, P. PF",43,43,30.1,12.2,1.27,27
"5 Zeller, Cody Zeller, C. PF",46,27,23.3,11.2,1.33,24
"6 Monk, Malik Monk, M. SG",47,0,20.1,9.0,1.12,31
"7 Biyombo, Bismack Biyombo, B. C",43,25,19.1,7.5,1.39,19
"8 Williams, Marvin Williams, M. PF",40,1,19.8,6.8,1.31,22
"9 Bacon, Dwayne Bacon, D. SG",36,10,17.9,6.2,0.94,25
"10 Hernangomez, Willy Hernangomez, W. C",20,0,9.2,5.6,1.5,15
"11 Kidd-Gilchrist, Michael Kidd-Gilchrist, M. SF",12,0,13.3,4.0,0.91,11
"12 Martin, Cody Martin, C. SF",35,0,15.0,4.0,1.12,11
"13 Batum, Nicolas Batum, N. PG",22,3,23.0,3.6,0.98,13
"14 McDaniels, Jalen McDaniels, J. PF",2,0,3.5,2.0,0.8,2
"15 Martin, Caleb Martin, C. SF",5,0,6.4,1.8,0.9,4
"1 Mitchell, Donovan Mitchell, D. SG",48,48,34.3,24.6,1.24,46
"2 Bogdanovic, Bojan Bogdanovic, B. SF",48,48,33.2,21.2,1.38,35
"3 Gobert, Rudy Gobert, R. C",47,47,34.3,15.6,1.81,28
"4 Clarkson, Jordan Clarkson, J. PG",19,0,25.4,14.9,1.18,37
"5 Conley, Mike Conley, M. PG",29,23,27.4,12.9,1.11,29
"6 Ingles, Joe Ingles, J. SF",49,29,30.0,10.4,1.27,27
"7 Green, Jeff Green, J. PF",30,2,18.4,7.8,1.19,19
"8 Mudiay, Emmanuel Mudiay, E. PG",43,1,16.2,7.2,1.18,20
"9 O'Neale, Royce O'Neale, R. SF",49,45,29.4,6.1,1.26,14
"10 Niang, Georges Niang, G. PF",43,0,13.8,5.9,1.30,15
"11 Bradley, Tony Bradley, T. C",36,2,10.3,4.4,1.46,14
"12 Exum, Dante Exum, D. PG",11,0,7.5,2.2,1.04,28
"13 Tucker, Rayjon Tucker, R. SG",12,0,6.2,1.6,1.00,6
"14 Davis, Ed Davis, E. C",25,0,10.7,1.3,0.97,7
"15 Morgan, Juwan Morgan, J. PF",11,0,4.0,0.8,1.29,4
"16 Williams-Goss, Nigel Williams-Goss, N. SG",9,0,3.1,0.4,0.57,2
"17 Brantley, Jarrell Brantley, J. PF",3,0,3.7,0.0,-,0
"17 Kidd, Stanton Kidd, S. SF",4,0,3.8,0.0,0.00,0
"17 Oni, Miye Oni, M. SG",3,0,2.7,0.0,-,0
"1 Hield, Buddy Hield, B. SG",49,44,33.7,20.3,1.17,42
"2 Fox, De'Aaron Fox, D. PG",31,29,31.4,19.9,1.31,34
"3 Barnes, Harrison Barnes, H. SF",49,49,34.8,14.4,1.29,30
"4 Bogdanovic, Bogdan Bogdanovic, B. SG",38,5,28.0,14.4,1.17,31
"5 Bagley, Marvin Bagley, M. PF",13,6,25.7,14.2,1.11,18
"6 Holmes, Richaun Holmes, R. PF",37,33,29.4,13.1,1.57,28
"7 Bjelica, Nemanja Bjelica, N. PF",49,46,28.2,12.2,1.27,34
"8 Bazemore, Kent Bazemore, K. SG",6,0,17.7,7.8,1.27,19
"9 Joseph, Cory Joseph, C. PG",49,20,25.0,6.5,1.05,16
"10 Ariza, Trevor Ariza, T. SF",32,0,24.7,6.0,1.16,21
"10 Mika, Eric Mika, E. PF",1,0,19.0,6.0,2.0,6
"12 Dedmon, Dewayne Dedmon, D. C",33,9,15.3,5.2,1.05,18
"13 Giles, Harry Giles, H. PF",23,4,11.3,5.0,1.16,16
"14 Ferrell, Yogi Ferrell, Y. PG",38,0,11.4,4.6,1.17,17
"15 James, Justin James, J. SG",29,0,7.3,2.6,1.03,14
"16 Gabriel, Wenyen Gabriel, W. PF",11,0,5.5,1.7,1.12,8
"17 Tolliver, Anthony Tolliver, A. PF",6,0,9.2,1.2,0.58,16
"18 Guy, Kyle Guy, K. SG",2,0,2.0,1.0,1.0,2
"19 Jeffries, DaQuan Jeffries, D. SG",3,0,4.0,0.7,0.67,2
